Date,Occurrence_Count_crime_file_1,Occurrence_Count_storm_file_2,Trauma_detrended_file_3,Detrended_Value_CPI_file_5,Total_New_Deaths_file_6
12/31/19,0.288806758,0.018267217,0.131235418,0.413111906,0.087828251
1/1/20,0.571277719,0.01608858,0.087224204,0.417961691,0
1/2/20,0.333157339,0.013680719,0.153069385,0.427623372,0
1/3/20,0.366948258,0.011922817,0.152976924,0.437285053,0
1/4/20,0.333685322,0.011103457,0.147409498,0.446946734,0
1/5/20,0.326821542,0.01141119,0.12529815,0.456608415,8.97E-05
1/6/20,0.361668427,0.012770213,0.185668364,0.466270096,0
1/7/20,0.32998944,0.014912048,0.202119825,0.475931777,0
1/8/20,0.340021119,0.01756656,0.180008477,0.485593457,0
1/9/20,0.331045407,0.020544361,0.19086595,0.495255138,0
1/10/20,0.326821542,0.023728552,0.212792377,0.504916819,0
1/11/20,0.293030623,0.027048727,0.146762276,0.5145785,0
1/12/20,0.30095037,0.02753243,0.135719883,0.524240181,1.49E-05
1/13/20,0.340021119,0.028175533,0.196090097,0.533901862,0
1/14/20,0.3468849,0.028967747,0.190403649,0.543563543,0
1/15/20,0.343717001,0.029897574,0.20685511,0.553225224,0
1/16/20,0.35374868,0.030952973,0.234256504,0.562886904,0
1/17/20,0.304118268,0.032121912,0.223095089,0.572548585,1.49E-05
1/18/20,0.29250264,0.033392789,0.146115055,0.582210266,0
1/19/20,0.262407603,0.03475471,0.151497562,0.591871947,1.49E-05
1/20/20,0.326293559,0.036197656,0.184373922,0.601533628,1.49E-05
1/21/20,0.305174234,0.037712547,0.228319236,0.611195309,2.99E-05
1/22/20,0.33157339,0.039291253,0.228226776,0.62085699,0.000164406
1/23/20,0.310454065,0.040926552,0.228134316,0.630518671,1.49E-05
1/24/20,0.344772967,0.042612066,0.200548002,0.640180351,0.000119568
1/25/20,0.3468849,0.044342185,0.167486721,0.649842032,0.000239136
1/26/20,0.317317846,0.046111988,0.145375374,0.659503713,0.00029892
1/27/20,0.365892291,0.04791716,0.233239442,0.669165394,0.000388596
1/28/20,0.356388596,0.04975392,0.249571881,0.678827075,0.000732354
1/29/20,0.325237592,0.049761261,0.260548375,0.688488756,2.99E-05
1/30/20,0.32312566,0.050146952,0.392331196,0.698150437,0.000567948
1/31/20,0.371700106,0.050902545,0.458176377,0.707812117,0.000627732
2/1/20,0.428194298,0.047434015,0.414165163,0.717473798,0.000713672
2/2/20,0.348468849,0.044154354,0.24910958,0.707123986,0.001644061
2/3/20,0.390179514,0.041107804,0.24901712,0.696774173,0.000956544
2/4/20,0.338965153,0.038348658,0.325931255,0.686424361,0.001012592
2/5/20,0.331045407,0.035941515,0.325838795,0.676074549,0.001076113
2/6/20,0.290390707,0.042864849,0.281827581,0.665724736,0.001046221
2/7/20,0.363252376,0.040935856,0.243172313,0.655374924,0.001270411
2/8/20,0.328405491,0.032988559,0.199161099,0.645025111,0.001300303
2/9/20,0.294086589,0.026704171,0.187999685,0.634675299,0.001494601
2/10/20,0.329461457,0.023407556,0.242894932,0.624325486,0.001599223
2/11/20,0.336325238,0.02429903,0.28136528,0.613975674,0.001494601
2/12/20,0.329461457,0.029006612,0.319716607,0.603625861,7.47E-05
2/13/20,0.286166843,0.03610207,0.292130293,0.593276049,0.003792549
2/14/20,0.306758184,0.035030481,0.237050125,0.582926237,0.002271793
2/15/20,0.310982049,0.034107356,0.176494991,0.572576424,0.002122333
2/16/20,0.32312566,0.033344696,0.181877497,0.562226612,0.001584277
2/17/20,0.31467793,0.032753408,0.247722678,0.551876799,0.001464709
2/18/20,0.349524815,0.032342632,0.291667992,0.541526987,0.002077495
2/19/20,0.304646251,0.032119101,0.280625599,0.531177174,0.001688899
2/20/20,0.318373812,0.032086621,0.247445297,0.520827362,0.001905616
2/21/20,0.343189018,0.032245752,0.214384017,0.510477549,0
2/22/20,0.357972545,0.032593766,0.186797703,0.500127737,0.003168554
2/23/20,0.344772967,0.03312487,0.186705243,0.489777925,0.00014946
2/24/20,0.313621964,0.03383067,0.24160049,0.479428112,0.002477301
2/25/20,0.269799366,0.034700783,0.269001884,0.4690783,0.001307776
2/26/20,0.315205913,0.035723506,0.246890536,0.458728487,0.001049957
2/27/20,0.294614572,0.036886454,0.25786703,0.448378675,0.000687516
2/28/20,0.343717001,0.038177116,0.213736795,0.438028862,0.001038748
2/29/20,0.306758184,0.039583285,0.164250615,0.42767905,0.001180735
3/1/20,0.400211193,0.039682425,0.180583055,0.417329237,0.001109741
3/2/20,0.315205913,0.039782039,0.240953269,0.41240076,0.001348877
3/3/20,0.332629356,0.039882122,0.218960942,0.407472283,0.001502074
3/4/20,0.327349525,0.039982671,0.222558134,0.402543805,0.002002765
3/5/20,0.307286167,0.040083683,0.269836036,0.397615328,0.00212607
3/6/20,0.370644139,0.040185154,0.21499391,0.392686851,0.002421253
3/7/20,0.308342133,0.040287081,0.145750242,0.387758373,0.002593132
3/8/20,0.334213305,0.040389461,0.163867997,0.382829896,0.003639353
3/9/20,0.297782471,0.04049229,0.203766597,0.377901419,0.006273587
3/10/20,0.294614572,0.040595565,0.211053439,0.372972941,0.004868662
3/11/20,0.308342133,0.030179834,0.203581676,0.368044464,0.007607518
3/12/20,0.331045407,0.024934621,0.167068787,0.363115987,0.0088443
3/13/20,0.355332629,0.025104196,0.108656031,0.358187509,0.009270261
3/14/20,0.324181626,0.025273784,0.090353356,0.353259032,0.011669095
3/15/20,0.310982049,0.025443384,0.093950547,0.348330555,0.028479617
3/16/20,0.276135164,0.025612996,0.115757953,0.343402077,0.016455554
3/17/20,0.302006336,0.025782619,0.111975841,0.3384736,0.01707955
3/18/20,0.277719113,0.025952254,0.130093596,0.333545123,0.018499421
3/19/20,0.247624076,0.026121901,0.122740854,0.328616645,0.023099055
3/20/20,0.263991552,0.026291558,0.100748528,0.323688168,0.023831409
3/21/20,0.229144667,0.026461227,0.086135504,0.318759691,0.03092329
3/22/20,0.196409715,0.026630906,0.11151354,0.313831213,0.155147031
3/23/20,0.205913411,0.026800596,0.122371013,0.308902736,0.034364608
3/24/20,0.220696938,0.026970296,0.136799117,0.303974259,0.035380936
3/25/20,0.228088701,0.027140006,0.140396308,0.299045782,0.042913724
3/26/20,0.221224921,0.027309726,0.154824411,0.294117304,0.045518066
3/27/20,0.221752904,0.027479455,0.154731951,0.289188827,0.051780443
3/28/20,0.244984161,0.027649195,0.129168994,0.28426035,0.064073534
3/29/20,0.261351637,0.027818943,0.125505904,0.279331872,0.374356388
3/30/20,0.234424498,0.027988701,0.165404504,0.274403395,0.067578373
3/31/20,0.201689546,0.028158468,0.169001695,0.269474918,0.080577663
4/1/20,0.28405491,0.027882804,0.139749087,0.26454644,0.084261854
4/2/20,0.194825766,0.027607163,0.161556493,0.284769907,0.094384038
4/3/20,0.265047518,0.027331547,0.161464032,0.304993374,0.104595897
4/4/20,0.234424498,0.027055957,0.132211424,0.325216841,0.113425251
4/5/20,0.212249208,0.026780394,0.132118964,0.345440308,0.501857041
4/6/20,0.234952482,0.026504858,0.161186652,0.365663775,0.119960393
4/7/20,0.23812038,0.028868553,0.172044125,0.385887243,0.13265329
4/8/20,0.2312566,0.037552624,0.175522295,0.40611071,0.128842058
4/9/20,0.22280887,0.025678421,0.19364005,0.426334177,0.14362366
4/10/20,0.22280887,0.067397391,0.160816811,0.446557644,0.154754699
4/11/20,0.233896515,0.058091005,0.124303921,0.466781111,0.151799126
4/12/20,0.200105597,0.049087436,0.124211461,0.487004578,0.494671748
4/13/20,0.206969377,0.040584232,0.167799712,0.507228045,0.148895864
4/14/20,0.191657867,0.038166324,0.185917467,0.527451512,0.141471434
4/15/20,0.21594509,0.035817083,0.189514658,0.547674979,0.146022494
4/16/20,0.211721225,0.033550554,0.178472265,0.567898446,0.158719127
4/17/20,0.220696938,0.031384151,0.189329738,0.588121913,0.167739043
4/18/20,0.241288279,0.029339387,0.134487612,0.60834538,0.182139521
4/19/20,0.178458289,0.027442586,0.141774455,0.628568847,0.415431753
4/20/20,0.263463569,0.025725367,0.174412773,0.648792314,0.137510742
4/21/20,0.219112988,0.024224551,0.188959897,0.669015781,0.140070246
4/22/20,0.223864836,0.022980943,0.199698349,0.689239248,0.147625453
4/23/20,0.22967265,0.022036384,0.206985192,0.709462715,0.158891006
4/24/20,0.228616684,0.021428825,0.174042932,0.729686182,0.150629601
4/25/20,0.208553326,0.021186073,0.123009479,0.749909649,0.147935583
4/26/20,0.219640971,0.021320077,0.155647797,0.770133116,0.332922318
4/27/20,0.208553326,0.021824179,0.195665418,0.790356584,0.132780331
4/28/20,0.243928194,0.022674667,0.20283324,0.810580051,0.124926204
4/29/20,0.220168955,0.023835865,0.195480498,0.830803518,0.132892426
4/30/20,0.222280887,0.025266468,0.206337971,0.851026985,0.146317677
5/1/20,0.309398099,0.027497967,0.169825081,0.871250452,0.153077009
5/2/20,0.257127772,0.029846079,0.136882821,0.866330718,0.149564698
5/3/20,0.255543823,0.032286074,0.140480012,0.861410984,0.275933191
5/4/20,0.227560718,0.034799126,0.184068264,0.856491251,0.127982663
5/5/20,0.2312566,0.035117241,0.180286152,0.851571517,0.119713784
5/6/20,0.240760296,0.035439322,0.20578321,0.846651783,0.118828233
5/7/20,0.218057022,0.035765265,0.180101232,0.841732049,0.161745694
5/8/20,0.2312566,0.036094968,0.183698423,0.836812316,0.154679969
5/9/20,0.241816262,0.03642833,0.128975318,0.831892582,0.148271868
5/10/20,0.246040127,0.036765255,0.125193207,0.826972848,0.218869335
5/11/20,0.234952482,0.037105648,0.187110694,0.822053114,0.137869447
5/12/20,0.236536431,0.037449417,0.208799079,0.817133381,0.112065165
5/13/20,0.272439282,0.037796471,0.186925774,0.812213647,0.110678922
5/14/20,0.244456177,0.038146724,0.168623099,0.807293913,0.136251541
5/15/20,0.288806758,0.03850009,0.190311484,0.80237418,0.131801368
5/16/20,0.301478353,0.038856486,0.248539319,0.797454446,0.146500766
5/17/20,0.22967265,0.039215832,0.175606,0.792534712,0.196398012
5/18/20,0.261351637,0.039578048,0.197294385,0.787614978,0.125169077
5/19/20,0.24656811,0.039943059,0.189941643,0.782695245,0.105040541
5/20/20,0.282998944,0.033382877,0.197109464,0.777775511,0.115017001
5/21/20,0.258183738,0.030332731,0.189756723,0.772855777,0.135649965
5/22/20,0.280887012,0.031789785,0.1422939,0.767936043,0.133606098
5/23/20,0.289334741,0.037241188,0.127680876,0.76301631,0.131173635
5/24/20,0.295142555,0.045294369,0.131159046,0.758096576,0.185210926
5/25/20,0.336325238,0.044033365,0.123806304,0.753176842,0.112457497
5/26/20,0.302006336,0.042865695,0.163823925,0.748257109,0.108123155
5/27/20,0.296726505,0.041799012,0.200151895,0.743337375,0.110693868
5/28/20,0.288806758,0.040841055,0.207319716,0.738417641,0.122624519
5/29/20,0.304118268,0.039999463,0.181756759,0.733497907,0.135160483
5/30/20,0.48468849,0.039281544,0.127033655,0.728578174,0.141269663
5/31/20,1,0.038694023,0.145151409,0.72365844,0.162702238
6/1/20,0.501055966,0.037813607,0.228849742,0.718738706,0.123865038
6/2/20,0.355860612,0.037055597,0.214236718,0.701186604,0.111134776
6/3/20,0.324709609,0.036427446,0.210454607,0.683634502,0.113313156
6/4/20,0.276135164,0.035935796,0.217622428,0.6660824,0.139849793
