date,Trauma
2016-09-10,13.11
2016-09-11,13.76
2016-09-12,18.49
2016-09-13,18.92
2016-09-14,19.13
2016-09-15,18.27
2016-09-16,16.98
2016-09-17,14.83
2016-09-18,14.19
2016-09-19,20.42
2016-09-20,19.56
2016-09-21,18.92
2016-09-22,18.7
2016-09-23,17.63
2016-09-24,15.05
2016-09-25,14.62
2016-09-26,20.42
2016-09-27,17.63
2016-09-28,19.13
2016-09-29,21.5
2016-09-30,17.41
2016-10-01,12.9
2016-10-02,13.97
2016-10-03,16.77
2016-10-04,19.78
2016-10-05,17.2
2016-10-06,18.06
2016-10-07,16.55
2016-10-08,12.25
2016-10-09,13.54
2016-10-10,17.63
2016-10-11,18.27
2016-10-12,18.49
2016-10-13,18.92
2016-10-14,16.98
2016-10-15,14.4
2016-10-16,14.4
2016-10-17,20.21
2016-10-18,18.06
2016-10-19,19.13
2016-10-20,18.7
2016-10-21,16.98
2016-10-22,13.11
2016-10-23,14.19
2016-10-24,19.99
2016-10-25,18.49
2016-10-26,20.64
2016-10-27,20.85
2016-10-28,17.63
2016-10-29,13.97
2016-10-30,14.4
2016-10-31,17.41
2016-11-01,21.07
2016-11-02,17.41
2016-11-03,16.98
2016-11-04,16.34
2016-11-05,13.54
2016-11-06,13.97
2016-11-07,19.56
2016-11-08,16.77
2016-11-09,12.68
2016-11-10,18.27
2016-11-11,17.2
2016-11-12,14.19
2016-11-13,15.26
2016-11-14,20.21
2016-11-15,19.56
2016-11-16,20.85
2016-11-17,20.21
2016-11-18,18.81
2016-11-19,15.22
2016-11-20,13.66
2016-11-21,16.57
2016-11-22,17.24
2016-11-23,15.22
2016-11-24,9.63
2016-11-25,10.3
2016-11-26,11.87
2016-11-27,13.66
2016-11-28,17.91
2016-11-29,19.7
2016-11-30,20.15
2016-12-01,18.58
2016-12-02,16.57
2016-12-03,13.21
2016-12-04,13.88
2016-12-05,19.48
2016-12-06,20.15
2016-12-07,19.25
2016-12-08,19.7
2016-12-09,16.34
2016-12-10,12.98
2016-12-11,13.21
2016-12-12,15.67
2016-12-13,19.25
2016-12-14,17.69
2016-12-15,16.12
2016-12-16,14.78
2016-12-17,12.98
2016-12-18,12.09
2016-12-19,14.33
2016-12-20,15.0
2016-12-21,14.78
2016-12-22,13.66
2016-12-23,12.31
2016-12-24,9.4
2016-12-25,8.95
